
NOTICE: Existing SQLite export found: benchmark_results/2.7B_profile.sqlite
        It is assumed file was previously exported from: benchmark_results/2.7B_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [benchmark_results/2.7B_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     19.0    2,266,126,648      3,375    671,444.9    316,414.0    313,118  1,156,632    409,210.4  void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)                      
     10.0    1,194,476,528     30,975     38,562.6     15,200.0      1,216    146,751     52,196.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
     10.0    1,187,935,009        975  1,218,394.9  1,217,752.0  1,213,304  1,232,024      3,455.3  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_ex…
      9.7    1,159,967,591      2,400    483,319.8    315,774.0    310,494  1,162,873    336,068.1  void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params)                      
      9.4    1,122,711,457     28,155     39,876.1     20,064.0      1,216    102,335     40,495.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      9.3    1,107,023,708        960  1,153,149.7  1,152,280.0  1,149,624  1,161,785      2,813.4  void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nt_align1>(T1::Params)                      
      8.9    1,056,883,112      2,400    440,368.0    289,374.0    286,814  1,054,330    302,477.3  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_e…
      3.5      419,964,635      9,135     45,973.1     13,440.0      7,519    188,926     61,718.4  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      3.1      367,702,042      9,705     37,887.9     24,992.0      1,247    101,760     37,753.7  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
      2.7      325,751,955     15,960     20,410.5      9,503.5      2,496    109,760     28,772.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.3      273,919,713      4,380     62,538.7     31,776.0      1,375    147,103     59,367.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      1.9      229,712,660      7,740     29,678.6     13,568.0      1,440     59,808     22,319.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      1.7      200,357,128      4,380     45,743.6     28,192.0      1,312    102,016     39,452.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorItera…
      1.5      179,853,445      5,370     33,492.3     15,840.0      1,216    101,759     40,826.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…
      1.5      176,242,625     10,245     17,202.8      9,152.0      1,056     48,256     17,337.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      1.3      160,276,241      6,825     23,483.7     10,624.0      2,848     70,272     23,448.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.6       73,355,428      1,920     38,206.0     39,008.0     32,416     42,719      3,232.4  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.4       51,295,760        960     53,433.1     51,999.0     50,687     58,272      2,465.0  sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_ex…
      0.4       49,778,895        960     51,853.0     51,711.5     49,855     54,688      1,416.3  void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(T1::Params)                      
